name;common_name;iso_639_1;iso_639_2b;iso_639_2t;iso_639_3;is_common;type
Northern Toussian;Northern Toussian;;;;tsp;false;living
Thai Sign Language;Thai Sign Language;;;;tsq;false;living
Akei;Akei;;;;tsr;false;living
Taiwan Sign Language;Taiwan Sign Language;;;;tss;false;living
Tondi Songway Kiini;Tondi Songway Kiini;;;;tst;false;living
Tsou;Tsou;;;;tsu;false;living
Tsogo;Tsogo;;;;tsv;false;living
Tsishingini;Tsishingini;;;;tsw;false;living
Mubami;Mubami;;;;tsx;false;living
Tebul Sign Language;Tebul Sign Language;;;;tsy;false;living
Purepecha;Purepecha;;;;tsz;false;living
Tutelo;Tutelo;;;;tta;false;extinct
Gaa;Gaa;;;;ttb;false;living
Tektiteko;Tektiteko;;;;ttc;false;living
Tauade;Tauade;;;;ttd;false;living
Bwanabwana;Bwanabwana;;;;tte;false;living
Tuotomb;Tuotomb;;;;ttf;false;living
Tutong;Tutong;;;;ttg;false;living
Upper Ta'oih;Upper Ta'oih;;;;tth;false;living
Tobati;Tobati;;;;tti;false;living
Tooro;Tooro;;;;ttj;false;living
Totoro;Totoro;;;;ttk;false;living
Totela;Totela;;;;ttl;false;living
Northern Tutchone;Northern Tutchone;;;;ttm;false;living
Towei;Towei;;;;ttn;false;living
Lower Ta'oih;Lower Ta'oih;;;;tto;false;living
Tombelala;Tombelala;;;;ttp;false;living
Tawallammat Tamajaq;Tawallammat Tamajaq;;;;ttq;false;living
Tera;Tera;;;;ttr;false;living
Northeastern Thai;Northeastern Thai;;;;tts;false;living
Muslim Tat;Muslim Tat;;;;ttt;false;living
Torau;Torau;;;;ttu;false;living
Titan;Titan;;;;ttv;false;living
Long Wat;Long Wat;;;;ttw;false;living
Sikaritai;Sikaritai;;;;tty;false;living
Tsum;Tsum;;;;ttz;false;living
Wiarumus;Wiarumus;;;;tua;false;living
Tübatulabal;Tübatulabal;;;;tub;false;living
Mutu;Mutu;;;;tuc;false;living
Tuxá;Tuxá;;;;tud;false;extinct
Tuyuca;Tuyuca;;;;tue;false;living
Central Tunebo;Central Tunebo;;;;tuf;false;living
Tunia;Tunia;;;;tug;false;living
Taulil;Taulil;;;;tuh;false;living
Tupuri;Tupuri;;;;tui;false;living
Tugutil;Tugutil;;;;tuj;false;living
Turkmen;Turkmen;tk;tuk;tuk;tuk;false;living
Tula;Tula;;;;tul;false;living
Tumbuka;Tumbuka;;tum;tum;tum;false;living
Tunica;Tunica;;;;tun;false;extinct
Tucano;Tucano;;;;tuo;false;living
Tedaga;Tedaga;;;;tuq;false;living
Turkish;Turkish;tr;tur;tur;tur;true;living
Tuscarora;Tuscarora;;;;tus;false;living
Tututni;Tututni;;;;tuu;false;living
Turkana;Turkana;;;;tuv;false;living
Tuxináwa;Tuxináwa;;;;tux;false;extinct
Tugen;Tugen;;;;tuy;false;living
Turka;Turka;;;;tuz;false;living
Vaghua;Vaghua;;;;tva;false;living
Tsuvadi;Tsuvadi;;;;tvd;false;living
Te'un;Te'un;;;;tve;false;living
Southeast Ambrym;Southeast Ambrym;;;;tvk;false;living
Tuvalu;Tuvalu;;tvl;tvl;tvl;false;living
Tela-Masbuar;Tela-Masbuar;;;;tvm;false;living
Tavoyan;Tavoyan;;;;tvn;false;living
Tidore;Tidore;;;;tvo;false;living
Taveta;Taveta;;;;tvs;false;living
Tutsa Naga;Tutsa Naga;;;;tvt;false;living
Sedoa;Sedoa;;;;tvw;false;living
Timor Pidgin;Timor Pidgin;;;;tvy;false;extinct
Twana;Twana;;;;twa;false;extinct
Western Tawbuid;Western Tawbuid;;;;twb;false;living
Teshenawa;Teshenawa;;;;twc;false;extinct
Twents;Twents;;;;twd;false;living
Tewa (Indonesia);Tewa (Indonesia);;;;twe;false;living
Northern Tiwa;Northern Tiwa;;;;twf;false;living
Tereweng;Tereweng;;;;twg;false;living
Tai Dón;Tai Dón;;;;twh;false;living
Twi;Twi;tw;twi;twi;twi;false;living
Tawara;Tawara;;;;twl;false;living
Tawang Monpa;Tawang Monpa;;;;twm;false;living
Twendi;Twendi;;;;twn;false;living
Tswapong;Tswapong;;;;two;false;living
Ere;Ere;;;;twp;false;living
Tasawaq;Tasawaq;;;;twq;false;living
Southwestern Tarahumara;Southwestern Tarahumara;;;;twr;false;living
Turiwára;Turiwára;;;;twt;false;extinct
Termanu;Termanu;;;;twu;false;living
Tuwari;Tuwari;;;;tww;false;living
Tewe;Tewe;;;;twx;false;living
Tawoyan;Tawoyan;;;;twy;false;living
Tombonuo;Tombonuo;;;;txa;false;living
Tokharian B;Tokharian B;;;;txb;false;ancient
Tsetsaut;Tsetsaut;;;;txc;false;extinct
Totoli;Totoli;;;;txe;false;living
Tangut;Tangut;;;;txg;false;ancient
Thracian;Thracian;;;;txh;false;ancient
Ikpeng;Ikpeng;;;;txi;false;living
Tomini;Tomini;;;;txm;false;living
West Tarangan;West Tarangan;;;;txn;false;living
Toto;Toto;;;;txo;false;living
Tii;Tii;;;;txq;false;living
Tartessian;Tartessian;;;;txr;false;ancient
Tonsea;Tonsea;;;;txs;false;living
